class,framework,seed,f1
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,0,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,1,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,42,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,123,0.9969230769230768
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,492,0.9969230769230768
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),attention,0,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),attention,1,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),attention,42,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),attention,123,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),attention,492,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),gating,0,0.9969040247678018
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),gating,1,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),gating,42,0.9969040247678018
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),gating,123,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),gating,492,1.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffs,0,0.9908256880733946
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffs,1,0.9907120743034056
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffs,42,0.9938271604938272
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffs,123,0.9906542056074766
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffs,492,0.9937888198757764
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffc,0,0.9938271604938272
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffc,1,0.9938271604938272
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffc,42,0.9907692307692308
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffc,123,0.9969230769230768
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),ffc,492,0.9937888198757764
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),film,0,0.9938271604938272
